132 640 19982010
75.5 0.1 3 46 0.095 0.2 0.65 0
75.5 0.31 6 45 0.31 0 0.39 0
75.5 0.15 11 76 0.073 -0.22 0.28 0
75.75 0.05 2 42 0.06259 -0.25 0.65 0
76 0.1 0 36 0.59 0 0.65 0
76.0 0.15 11 69 0.073 0.22 0.28 0
76.25 0.05 2 42 0.05213 -0.25 0.65 0
76.5 0.1 3 46 0.095 0.2 0.65 0
76.5 0.31 6 45 0.37 0 0.39 0
76.5 0.15 11 76 0.073 -0.22 0.28 0
76.75 0.05 2 42 0.0665 -0.25 0.65 0
77 0.1 0 36 0.59 0 0.65 0
77 0.1 1 39 0.27 0 0.65 0
77.0 0.15 11 73 0.073 0.22 0.28 0
77.25 0.05 2 42 0.04201 -0.25 0.65 0
77.5 0.1 3 46 0.095 0.2 0.65 0
77.5 0.31 6 45 0.31 0 0.39 0
77.5 0.15 11 81 0.073 -0.22 0.28 0
77.75 0.05 2 42 0.06114 -0.25 0.65 0
78 0.1 0 36 0.59 0 0.65 0
78.0 0.15 11 76 0.073 0.22 0.28 0
78.25 0.05 2 42 0.04501 -0.25 0.65 0
78.5 0.1 3 46 0.095 0.2 0.65 0
78.5 0.31 6 45 0.37 0 0.39 0
78.5 0.15 11 85 0.073 -0.22 0.28 0
78.75 0.05 2 42 0.06748 -0.25 0.65 0
79 0.1 0 36 0.59 0 0.65 0
79 0.1 1 39 0.27 0 0.65 0
79.0 0.15 11 73 0.073 0.22 0.28 0
79.25 0.05 2 42 0.0501 -0.25 0.65 0
79.5 0.1 3 46 0.095 0.2 0.65 0
79.5 0.31 6 45 0.31 0 0.39 0
79.5 0.15 11 76 0.073 -0.22 0.28 0
79.75 0.05 2 42 0.0618 -0.25 0.65 0
80 0.1 0 36 0.59 0 0.65 0
80 7.7 9 59 0.042 -0.55 0.4 0
80 7.7 9 62 0.042 -0.18 0.4 0
80 7.7 9 66 0.042 0.18 0.4 0
80 7.7 9 71 0.042 0.55 0.4 0
80.0 0.15 11 71 0.073 0.22 0.28 0
80.25 0.05 2 42 0.05074 -0.25 0.65 0
80.5 0.1 3 46 0.095 0.2 0.65 0
80.5 0.31 6 47 0.37 0 0.39 0
80.5 0.15 11 78 0.073 -0.22 0.28 0
80.75 0.05 2 42 0.05643 -0.25 0.65 0
81 0.1 0 36 0.59 0 0.65 0
81 0.1 1 39 0.27 0 0.65 0
81.0 0.15 11 74 0.073 0.22 0.28 0
81.25 0.05 2 42 0.04727 -0.25 0.65 0
81.5 0.1 3 46 0.095 0.2 0.65 0
81.5 0.31 6 47 0.31 0 0.39 0
81.5 0.15 11 83 0.073 -0.22 0.28 0
81.75 0.05 2 42 0.06625 -0.25 0.65 0
82 0.1 0 36 0.59 0 0.65 0
82.0 0.15 11 78 0.073 0.22 0.28 0
82.25 0.05 2 42 0.04667 -0.25 0.65 0
82.5 0.1 3 46 0.095 0.2 0.65 0
82.5 0.31 6 47 0.37 0 0.39 0
82.5 0.15 11 86 0.073 -0.22 0.28 0
82.75 0.05 2 42 0.06119 -0.25 0.65 0
83 0.1 0 36 0.59 0 0.65 0
83 0.1 1 39 0.27 0 0.65 0
83.0 0.15 11 74 0.073 0.22 0.28 0
83.25 0.05 2 42 0.04857 -0.25 0.65 0
83.5 0.1 3 46 0.095 0.2 0.65 0
83.5 0.31 6 47 0.31 0 0.39 0
83.5 0.15 11 78 0.073 -0.22 0.28 0
83.75 0.05 2 42 0.06442 -0.25 0.65 0
84 0.1 0 36 0.59 0 0.65 0
84.0 0.15 11 71 0.073 0.22 0.28 0
84.25 0.05 2 42 0.04613 -0.25 0.65 0
